SampleID	NovogeneID	ng_ul	ug	260_280	260_230	Species	Tissue	RawReads	ErrorRate	Q30	GC_content	Accession	Parent_Treat	Offspring_Treat	Block	Position
CMM5R	USR18004424	225	9.44	2.1	1.93	Arabidopsis thaliana	leaf	25757998	0.02	95.28	46.19	Col	M	M	5	7
ACM5R	USR18004425	51	2.09	2.15	0.67	Arabidopsis thaliana	leaf	22342994	0.02	95.12	46.06	Are	C	M	5	10
AVM5R	USR18004426	40	2.08	2.17	0.53	Arabidopsis thaliana	leaf	24650954	0.02	95.47	45.71	Are	V	M	5	5
CCM5R	USR18004427	64	2.57	2.15	1.73	Arabidopsis thaliana	leaf	25716682	0.02	95.31	46.36	Col	C	M	5	12
CMS5R	USR18004428	64	2.77	2.07	0.61	Arabidopsis thaliana	leaf	24426410	0.02	94.96	46.51	Col	M	S	5	1
ASM5R	USR18004429	20	0.85	2.2	0.28	Arabidopsis thaliana	leaf	21542414	0.03	94.96	45.7	Are	S	M	5	3
CMC5R	USR18004430	158	6.65	2.09	1.01	Arabidopsis thaliana	leaf	24167981	0.02	95.28	46.4	Col	M	C	5	5
AMM5R	USR18004431	94	3.94	2.02	0.74	Arabidopsis thaliana	leaf	23489910	0.03	92.5	46.22	Are	M	M	5	6
CMC7R	USR18004432	171	7	2.13	1.66	Arabidopsis thaliana	leaf	23694263	0.02	95.07	46.02	Col	M	C	7	4
CCM7R	USR18004433	218	9.82	2.08	1.82	Arabidopsis thaliana	leaf	19718892	0.02	95.22	46.98	Col	C	M	7	12
AMC7R	USR18004434	185	7.76	2.1	1.85	Arabidopsis thaliana	leaf	24921606	0.02	95.36	46.42	Are	M	C	7	3
CMV7R	USR18004435	261	10.96	2.12	1.08	Arabidopsis thaliana	leaf	24462313	0.03	94.87	44.83	Col	M	V	7	6
CSM7R	USR18004436	1853	79.67	2.13	2.09	Arabidopsis thaliana	leaf	21646432	0.02	95.36	46.44	Col	S	M	7	4
AVM7R	USR18004437	545	24.53	2.13	2.01	Arabidopsis thaliana	leaf	23306310	0.02	95.44	47.14	Are	V	M	7	1
AMS7R	USR18004438	1717	72.12	2.14	2.17	Arabidopsis thaliana	leaf	24896375	0.02	95.4	46.2	Are	M	S	7	6
CMV5R	USR18004439	831	34.06	2.09	0.92	Arabidopsis thaliana	leaf	22721039	0.02	95.27	46.98	Col	M	V	5	1
AMS5R	USR18004440	460	19.3	1.9	0.85	Arabidopsis thaliana	leaf	24682587	0.02	95.14	46.41	Are	M	S	5	5
AMV5R	USR18004441	1672	68.55	2.08	1.83	Arabidopsis thaliana	leaf	22764267	0.02	95.41	46.05	Are	M	V	5	2
CMM7R	USR18004442	90	11.78	2.12	2.16	Arabidopsis thaliana	leaf	23173750	0.02	95.37	45.02	Col	M	M	7	5
AMC5R	USR18004443	51	6.05	2.14	1.09	Arabidopsis thaliana	leaf	23329393	0.03	94.74	46.14	Are	M	C	5	6
CVM5R	USR18004444	565	23.75	2.11	1.98	Arabidopsis thaliana	leaf	22606204	0.02	95.23	46.59	Col	V	M	5	8
CSM5R	USR18004445	392	18.03	1.98	1.27	Arabidopsis thaliana	leaf	19662246	0.02	95.07	45.97	Col	S	M	5	1
AMM7R	USR18004446	541	22.72	2.16	1.01	Arabidopsis thaliana	leaf	23605594	0.02	95.32	46.25	Are	M	M	7	2
ASM7R	USR18004447	997	38.89	2.14	0.78	Arabidopsis thaliana	leaf	21510503	0.02	95	46.63	Are	S	M	7	7
CVM7R	USR18004448	298	12.21	2.14	2.22	Arabidopsis thaliana	leaf	20887386	0.02	95.19	45.88	Col	V	M	7	8
ACM7R	USR18004449	222	8.88	2.14	1.11	Arabidopsis thaliana	leaf	19745676	0.02	95.19	46.02	Are	C	M	7	11
AMV7R	USR18004450	197	7.9	2.12	2.08	Arabidopsis thaliana	leaf	24165679	0.02	95.56	44.42	Are	M	V	7	12
CMS7R	USR18004451	140	6.03	2.12	1.79	Arabidopsis thaliana	leaf	23130474	0.02	94.91	46	Col	M	S	7	4
